Administrative,Informational,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,4,63,0,500,0,2,2,2,6,1,3,1,0,0
1,1,45,1583,5,509,54,4,2,3,2,1,1,1,0,0
0,0,2,35,0,1000,0,0,2,1,1,6,3,1,0,0
0,0,3,78,0,667,0,0,2,1,2,6,6,1,1,0
0,0,8,210,0,250,0,0,2,2,2,1,1,1,0,0
0,0,10,184,4,800,0,0,2,1,1,3,1,1,0,0
0,0,14,381,2,286,0,0,2,2,2,1,1,1,0,0
0,0,52,2087,2,204,0,0,2,2,2,7,1,1,0,0
0,0,8,388,3,563,0,0,2,3,2,1,4,1,1,0
2,0,5,298,0,286,0,8,2,2,2,8,4,1,0,0
0,0,7,63,3,715,0,6,2,2,2,1,3,1,0,0
0,0,9,482,0,223,0,0,2,2,5,1,6,1,0,0
1,0,46,4085,0,18,0,0,2,2,2,8,4,1,0,0
0,0,3,22,0,667,0,6,2,1,1,3,2,1,0,0
0,0,15,311,0,67,0,0,2,1,1,4,4,1,0,0
0,0,2,34,0,500,0,4,2,3,2,2,3,1,0,0
0,0,4,88,0,500,0,0,2,4,1,1,3,1,0,0
0,0,22,623,1,61,0,2,2,2,5,1,4,1,0,0
0,0,14,223,2,572,0,0,2,1,1,1,2,1,0,0
0,0,3,80,7,1334,0,2,2,3,2,1,3,1,0,0
0,0,11,801,0,37,0,0,2,3,2,1,3,1,0,0
0,0,1,0,20,2000,0,6,2,2,2,3,2,1,0,0
0,0,1,0,20,2000,0,0,2,1,1,3,4,1,1,0
0,0,12,266,2,262,0,2,2,3,2,1,3,1,0,0
0,0,2,29,0,1000,0,10,2,2,4,4,2,1,1,0
0,0,4,160,0,750,0,0,2,4,2,2,3,1,0,0
0,0,4,136,5,250,0,4,2,3,3,1,4,1,0,0
0,0,1,0,20,2000,0,2,2,2,4,1,3,1,0,0
0,0,1,0,20,2000,0,6,2,3,2,3,3,1,0,0
4,2,36,999,0,148,19,2,2,2,2,4,1,1,0,0
0,0,4,104,0,500,0,4,2,2,6,6,3,1,0,0
2,0,16,382,2,466,0,6,2,2,4,2,1,1,0,0
0,0,6,169,0,167,0,4,2,1,1,3,3,1,0,0
0,0,8,401,5,1209,0,0,2,1,1,1,3,1,0,0
12,0,42,1554,1,197,38,0,2,1,1,3,2,1,0,0
0,0,14,707,0,72,0,0,2,2,2,5,4,1,1,0
0,0,1,0,20,2000,0,0,2,2,2,4,3,1,0,0
3,0,27,799,0,127,23,8,2,2,2,3,1,1,0,1
4,0,90,6952,1,151,0,0,2,4,1,1,3,1,0,0
0,0,1,0,20,2000,0,6,2,2,2,5,1,1,0,0
0,0,18,902,0,75,0,0,2,2,7,2,4,1,0,0
0,0,1,0,20,2000,0,2,2,3,2,3,3,1,0,0
0,0,1,0,20,2000,0,0,2,2,6,1,2,1,0,0
0,0,20,198,3,525,0,0,2,2,6,6,1,1,0,0
0,0,2,43,0,1000,0,4,2,2,2,3,3,1,0,0
0,0,8,427,0,125,0,0,2,2,4,3,2,1,0,0
0,0,3,135,0,667,0,0,2,2,4,3,3,1,0,0
0,0,16,589,0,250,0,0,2,2,4,1,1,1,0,0
10,0,36,2112,1,145,11,0,2,2,6,1,2,1,0,1
0,0,2,76,0,500,0,6,2,3,2,3,3,1,0,0
0,0,1,0,20,2000,0,10,2,1,1,1,3,1,1,0
0,0,1,0,20,2000,0,4,2,1,1,1,3,1,0,0
0,0,7,208,0,286,0,0,2,4,1,1,5,1,1,0
0,0,4,270,0,167,0,8,2,1,1,1,3,1,0,0
0,0,6,40,0,200,0,0,2,2,2,1,3,1,0,0
0,0,12,375,2,584,0,0,2,3,2,4,1,1,0,0
0,0,1,0,20,2000,0,8,2,2,2,2,1,1,1,0
0,0,1,0,20,2000,0,0,2,1,1,1,3,1,0,0
0,0,7,150,6,858,0,0,2,2,2,2,1,1,0,0
0,0,3,138,0,667,0,0,2,1,1,1,3,1,0,0
0,0,7,338,3,239,0,4,2,4,1,3,3,1,0,0
0,0,19,621,0,79,0,0,2,1,1,4,2,1,0,0
2,0,15,169,0,118,0,4,2,1,1,1,3,1,0,0
0,0,1,0,20,2000,0,0,2,1,1,1,2,1,1,0
0,0,2,52,0,1000,0,0,2,1,1,1,3,1,0,0
0,0,13,650,0,154,0,0,2,2,2,1,5,2,0,0
0,0,27,926,1,260,0,6,2,4,1,3,3,1,0,0
0,0,2,33,0,1000,0,2,2,1,1,1,3,1,0,0
0,0,6,1567,5,667,0,2,2,1,1,1,3,1,0,0
0,0,4,105,0,250,0,6,2,1,1,1,4,1,0,0
0,1,7,50,4,810,0,6,2,2,4,1,7,1,0,0
0,0,16,645,1,317,0,0,2,3,2,3,4,1,0,0
3,0,38,2636,0,90,0,4,2,2,4,1,2,1,0,0
4,0,19,607,0,270,18,10,2,1,1,7,4,1,1,1
0,0,6,415,0,334,0,4,2,1,1,3,2,1,0,0
2,1,36,2084,0,136,0,8,2,2,2,4,3,1,0,0
3,0,17,282,1,177,0,0,2,1,1,3,4,1,0,0
0,0,2,27,15,1500,0,0,2,1,1,7,2,1,0,0
0,1,9,215,5,741,0,8,2,4,1,1,3,1,0,0
0,0,12,162,5,667,0,0,2,1,1,1,3,1,0,0
0,0,2,114,5,667,0,8,2,3,3,1,3,1,0,0
6,4,128,5063,1,180,0,0,2,2,5,1,3,1,0,0
0,0,4,253,0,167,0,6,2,2,2,3,3,1,0,0
0,0,4,0,20,2000,0,4,2,2,2,1,3,1,0,0
0,0,1,0,20,2000,0,8,2,1,1,2,3,1,0,0
2,0,25,437,1,240,0,2,2,2,4,1,1,1,0,0
0,1,30,1046,2,355,0,2,2,1,1,1,3,1,0,0
0,0,12,318,0,56,0,0,2,1,1,1,4,1,1,0
0,0,21,1147,0,130,0,8,2,3,2,1,3,1,0,0
0,0,11,577,2,273,0,2,2,2,2,3,1,1,0,0
0,0,8,95,0,750,0,0,2,4,1,3,3,1,0,0
0,0,6,302,0,1112,0,0,2,2,4,9,3,1,0,0
0,0,6,243,0,334,0,0,2,2,4,4,1,1,0,0
0,0,4,136,0,500,0,6,2,2,2,1,2,1,0,0
0,2,14,443,0,344,0,8,2,1,1,3,3,1,0,0
0,0,3,41,0,667,0,0,2,1,1,3,3,1,0,0
0,0,11,293,3,1196,0,0,2,2,4,3,1,1,0,0
0,0,1,0,20,2000,0,0,2,1,1,3,3,1,0,0
0,0,9,1239,0,408,0,4,2,2,2,1,3,1,0,0
0,0,10,226,0,500,0,4,2,1,1,8,3,1,0,0
4,0,51,1874,0,76,0,6,2,2,2,9,3,1,0,0
0,0,3,13,14,1667,0,0,2,2,4,1,1,1,0,0
0,0,2,222,0,1000,0,0,2,2,6,1,2,1,1,0
2,0,16,215,0,223,0,0,2,2,2,1,6,1,0,0
0,0,1,0,20,2000,0,0,2,3,2,3,3,1,0,0
0,0,6,2018,0,112,0,8,2,2,2,4,3,1,0,0
6,0,26,450,0,186,0,6,2,1,1,3,3,1,0,0
0,0,6,159,0,334,0,0,2,3,2,4,2,1,0,0
0,0,9,304,1,463,0,0,2,2,4,5,2,1,0,0
0,0,3,25,0,667,0,0,2,2,4,1,5,1,0,0
0,0,2,42,5,1500,0,4,2,2,2,1,4,1,0,0
4,0,14,1004,0,181,0,2,2,1,1,3,3,1,0,0
0,0,1,0,20,2000,0,0,2,2,2,7,3,1,0,0
0,0,9,273,0,119,0,2,2,1,1,6,3,1,0,0
3,0,8,344,0,75,0,0,2,2,4,2,3,1,0,0
0,0,1,0,20,2000,0,0,2,2,2,2,3,1,0,0
0,1,10,852,0,91,0,0,2,2,2,3,6,1,0,0
0,0,3,780,7,667,0,4,2,2,4,1,3,1,0,0
0,0,3,1038,0,334,0,0,2,2,2,1,1,1,0,0
0,0,4,573,0,500,0,0,2,2,2,3,3,1,0,0
0,0,28,1232,1,304,0,0,2,1,1,4,3,1,0,0
0,0,11,317,0,273,0,8,2,2,2,2,1,1,0,0
0,0,20,874,1,282,0,0,2,1,2,1,1,1,0,0
0,0,1,0,20,2000,0,4,2,2,2,3,4,1,0,0
0,0,4,16,10,1500,0,0,2,2,5,5,1,1,0,0
0,0,19,615,0,264,0,2,2,2,2,3,3,1,0,0
0,0,9,262,0,267,0,0,2,2,6,1,1,1,0,0
0,0,21,616,4,500,0,0,2,3,2,2,1,1,1,0
0,0,1,0,20,2000,0,0,2,3,3,3,2,1,1,0
0,0,6,118,0,334,0,8,2,1,1,1,3,1,1,0
0,0,1,0,20,2000,0,0,2,1,1,1,3,1,0,0
0,0,1,0,20,2000,0,0,2,3,2,3,3,1,0,0
0,0,23,502,1,189,0,6,2,1,1,4,2,1,0,0
2,2,31,830,4,407,0,0,2,1,1,1,1,1,1,0
1,0,23,1223,2,125,0,0,2,1,1,1,2,1,1,0
0,0,6,467,0,167,0,4,2,1,1,3,3,1,0,0
0,0,23,738,1,116,0,6,2,2,2,1,3,1,0,0
0,0,12,129,0,334,0,0,2,1,1,3,2,1,0,0
0,0,5,63,0,400,0,0,2,2,2,1,3,1,0,0
0,0,5,125,9,1667,0,0,2,2,2,1,3,1,0,0
0,0,11,685,2,637,0,0,2,2,4,6,1,1,0,0
0,0,20,666,0,145,0,8,2,3,2,7,4,1,1,0
1,0,15,488,0,192,0,8,2,1,1,2,4,1,1,0
0,0,17,438,2,334,0,0,2,2,4,1,3,1,0,0
0,0,3,55,7,1000,0,6,2,1,1,1,3,1,0,0
0,0,1,0,20,2000,0,8,2,1,1,1,2,1,1,0
5,0,24,447,0,87,0,10,2,2,2,8,1,1,1,0
3,0,10,321,0,154,0,0,2,1,1,2,3,1,0,0
0,0,7,666,0,143,0,0,2,1,1,6,2,1,0,0
1,0,21,406,2,471,0,0,2,1,1,1,4,1,0,0
0,0,1,0,20,2000,0,0,2,3,2,3,3,1,0,0
0,0,6,164,4,334,0,6,2,1,1,6,2,1,0,0
0,0,17,285,0,118,0,0,2,3,2,6,2,1,1,0
0,0,1,0,20,2000,0,6,2,4,2,1,3,1,0,0
0,0,1,0,20,2000,0,0,2,2,4,1,1,1,0,0
0,0,8,260,1,250,0,8,2,3,2,1,3,1,1,0
0,16,5,280,1,128,0,0,3,2,2,1,8,1,0,0
0,0,20,928,2,273,8,0,3,1,1,3,1,1,0,0
2,0,50,837,0,64,0,0,3,2,2,3,2,1,0,0
10,2,96,3284,1,136,0,0,3,3,2,6,2,1,1,0
9,1,49,1869,0,208,2,0,3,2,2,7,2,1,0,1
3,1,68,3009,1,168,47,0,3,2,2,1,1,1,0,0
0,0,2,0,20,2000,0,0,3,1,1,1,3,1,0,0
3,5,24,3231,4,960,0,0,3,2,2,1,2,1,0,0
3,0,9,319,0,200,0,0,3,1,1,1,1,1,0,0
0,0,3,42,0,667,0,0,3,2,2,3,1,1,0,0
0,0,22,355,1,577,0,0,3,1,1,7,2,1,1,0
0,0,98,3557,1,102,0,0,3,1,1,1,3,1,0,0
2,1,67,2564,0,58,19,0,3,2,2,4,2,2,0,1
3,0,13,3015,2,615,0,0,3,2,2,1,2,1,0,0
0,0,17,841,0,17,109,0,3,2,2,9,2,2,0,1
3,2,55,1971,0,18,96,0,3,2,4,1,2,2,1,1
1,0,50,2867,0,40,153,0,3,2,2,7,8,1,1,1
0,0,5,43,0,400,0,0,3,1,1,1,9,1,1,0
5,0,13,285,0,42,0,0,3,1,1,1,2,2,0,0
0,0,3,134,0,889,0,0,3,1,2,1,8,1,0,0
1,0,12,298,0,84,0,0,3,3,2,1,10,1,0,0
3,0,16,454,0,53,0,0,3,2,2,5,2,2,0,0
1,0,16,1332,0,125,34,0,3,2,5,2,3,2,0,1
2,0,5,559,0,286,0,0,3,2,2,7,2,2,1,0
3,0,4,146,0,167,0,0,3,3,2,7,1,2,0,0
0,0,8,731,0,438,0,0,3,2,4,1,3,1,0,0
2,1,4,188,4,375,0,0,3,3,2,3,2,1,0,0
0,0,14,566,4,496,0,0,3,2,6,3,1,1,0,0
0,0,2,50,0,500,0,0,3,3,2,8,11,1,0,0
4,0,7,591,1,334,0,0,3,1,2,6,6,1,1,0
2,3,10,281,0,429,0,0,3,2,2,1,2,1,0,0
2,2,18,484,0,200,0,0,3,2,2,4,1,1,0,0
2,0,4,42,0,667,0,0,3,1,2,7,3,1,0,0
0,0,35,1193,1,286,0,0,3,2,4,2,2,1,0,0
0,0,12,198,2,750,0,0,3,2,2,3,2,1,0,0
0,0,3,15,0,667,0,0,3,2,4,3,12,1,0,0
2,0,14,643,0,134,35,0,3,2,2,5,1,1,0,1
0,0,5,23,8,1200,0,0,3,2,2,1,1,1,0,0
0,0,4,14,10,1500,0,0,3,3,2,1,1,1,0,0
1,0,6,211,0,200,0,0,3,2,2,1,8,2,0,0
1,0,28,1530,1,92,0,0,3,3,2,4,2,1,0,0
0,0,2,19,0,1000,0,0,3,2,2,3,11,1,1,0
5,2,37,1600,0,66,0,0,3,2,2,4,1,1,0,0
0,0,9,103,0,223,0,0,3,2,2,1,3,1,0,0
0,0,16,2337,0,134,18,0,3,2,2,1,1,1,0,1
0,0,19,1884,2,211,0,0,3,2,2,1,3,1,0,0
2,0,50,1246,1,207,7,0,3,2,2,7,9,1,1,0
6,0,22,1675,0,147,0,0,3,2,2,3,2,1,0,0
0,0,9,132,2,334,0,0,3,4,1,1,3,1,1,0
1,1,50,1435,0,193,22,0,3,2,2,3,2,1,1,0
2,0,18,368,1,443,0,0,3,3,2,2,1,1,1,0
3,5,7,149,0,141,0,0,3,3,2,2,2,1,0,0
3,0,29,1483,1,107,0,0,3,3,2,1,8,1,1,0
6,0,34,1049,2,323,0,0,3,2,6,1,1,1,1,0
0,0,9,478,0,112,0,0,3,3,2,2,3,1,1,0
0,0,16,981,0,400,0,0,3,2,2,4,3,1,0,0
8,1,51,1125,3,366,0,0,3,2,2,2,2,1,0,0
2,0,22,354,2,319,0,0,3,2,5,1,3,1,0,0
1,0,18,1490,3,465,0,0,3,2,2,8,1,1,0,0
0,1,28,2390,2,309,0,0,3,2,2,1,3,1,1,0
0,0,7,753,0,96,0,0,3,2,10,1,2,1,0,0
0,0,31,689,0,194,0,0,3,4,1,1,3,1,0,0
0,0,14,811,2,411,0,0,3,2,2,8,1,1,0,0
1,0,9,416,4,482,0,0,3,3,3,1,1,1,0,0
16,0,32,909,1,181,4,0,3,2,2,3,2,1,0,1
1,1,71,2754,2,153,0,0,3,3,2,2,1,1,1,0
2,1,46,2453,1,223,0,0,3,3,2,9,3,1,1,0
0,0,18,5189,0,500,0,0,3,2,5,1,1,1,0,0
0,0,2,0,20,2000,0,0,3,1,1,1,1,1,0,0
0,0,5,57,8,1200,0,0,3,2,5,2,1,1,0,0
0,0,2,8,0,1000,0,0,3,2,2,5,1,1,1,0
4,0,19,1431,1,257,0,0,3,1,1,1,1,1,0,0
1,0,2,20,0,500,0,0,3,3,2,3,2,1,0,0
5,0,4,1374,0,200,0,0,3,1,1,7,8,1,0,0
0,0,45,845,0,104,0,0,3,1,1,3,1,1,0,0
0,1,7,188,0,334,0,0,3,2,2,1,8,2,0,0
3,0,14,528,2,339,0,0,3,7,1,6,1,1,1,0
0,0,1,0,20,2000,0,0,3,3,3,5,2,1,0,0
1,1,29,1917,1,188,9,0,3,2,2,3,2,1,1,1
0,0,9,117,0,667,0,0,3,2,2,1,1,1,0,0
0,0,30,397,0,200,0,0,3,2,2,7,2,1,0,0
0,0,63,5221,0,34,51,0,3,2,5,3,1,1,1,1
0,0,20,220,0,117,0,0,3,1,8,7,2,1,0,0
0,0,5,74,0,400,0,0,3,2,2,1,10,1,0,0
0,0,15,1560,0,339,0,0,3,2,4,1,1,1,0,0
0,0,6,237,0,167,0,0,3,1,1,1,3,1,1,0
1,0,14,349,4,536,0,0,3,3,2,1,1,1,1,0
0,0,1,0,20,2000,0,0,3,2,5,1,1,1,0,0
1,1,13,225,0,143,0,0,3,1,1,1,8,2,0,0
4,0,42,602,0,46,0,0,3,2,5,3,3,1,0,0
0,0,5,76,2,134,0,0,3,1,1,2,9,1,1,0
0,0,2,153,0,500,0,0,3,2,5,6,1,1,0,0
4,0,10,198,0,167,39,0,3,1,1,1,3,1,1,1
0,0,18,3659,2,500,0,0,3,4,2,9,1,1,0,0
0,0,5,1163,0,250,0,0,3,2,2,2,2,1,0,0
0,0,32,557,2,396,0,0,3,2,2,3,1,1,0,0
0,0,3,41,0,334,0,0,3,2,2,1,3,1,1,0
0,0,11,301,0,200,54,0,3,2,2,1,11,1,1,1
13,4,36,1627,2,262,7,0,3,3,2,2,3,1,0,0
0,0,6,70,0,445,0,0,3,2,2,4,3,1,0,0
2,0,10,1170,2,500,0,0,3,3,9,9,2,1,0,0
0,0,8,402,0,381,0,0,3,2,2,2,1,1,0,0
0,0,1,0,20,2000,0,0,3,2,2,1,1,1,0,0
0,0,35,3325,2,248,0,0,3,2,2,1,1,1,0,0
11,1,87,3038,1,78,0,0,3,2,2,5,1,1,0,0
0,0,4,59,0,500,0,0,3,1,1,1,10,1,0,0
1,0,51,1060,2,227,0,0,3,3,2,6,3,1,0,0
2,0,7,720,0,112,0,0,3,2,2,3,6,1,0,0
0,0,40,906,2,375,0,0,3,3,2,2,1,1,0,0
0,0,1,0,20,2000,0,0,3,1,1,1,1,1,1,0
2,1,14,604,0,125,45,0,3,2,2,1,7,1,0,1
0,0,13,329,0,143,60,0,3,3,2,1,3,1,0,1
0,0,33,779,0,225,0,0,3,2,5,1,1,1,0,0
4,0,22,852,1,320,0,0,3,3,2,1,1,1,0,0
0,0,1,0,20,2000,0,0,3,1,1,8,1,1,0,0
0,0,3,228,0,223,0,0,3,2,2,1,3,1,0,0
5,0,17,529,0,23,0,0,3,1,1,1,9,1,1,0
0,0,15,873,0,267,0,0,3,2,2,2,3,1,1,0
0,0,2,0,20,2000,0,0,3,3,2,3,1,1,0,0
0,0,35,836,2,448,0,0,3,2,2,6,1,1,0,0
0,0,4,83,0,500,0,0,3,3,2,1,3,1,0,0
0,1,1,13,0,1000,0,0,3,3,2,3,1,1,0,0
0,0,2,9,0,1000,0,0,3,2,2,1,3,1,1,0
0,0,2,7,0,1000,0,0,3,2,2,1,1,1,0,0
0,0,12,95,4,256,0,0,3,3,2,4,11,1,0,0
5,0,23,268,0,160,0,0,3,1,1,4,9,1,1,0
0,0,29,3313,2,290,0,0,3,2,2,1,13,1,0,0
0,0,3,75,0,667,0,0,3,2,5,1,3,1,1,0
2,0,10,75,5,1100,0,0,3,2,2,1,1,1,0,0
0,1,27,1548,1,149,0,0,3,3,2,1,1,1,0,0
7,2,35,1277,0,87,0,0,3,1,1,6,2,1,0,0
3,2,54,2632,0,97,0,0,3,1,2,1,2,1,0,0
0,0,2,96,0,1000,0,0,3,4,1,1,1,1,0,0
2,0,3,1370,0,250,0,0,3,2,2,1,8,1,0,0
2,0,5,97,0,400,0,0,3,2,2,1,1,1,0,0
1,0,46,1381,0,104,0,0,3,4,1,1,1,1,0,0
1,0,23,1484,3,384,7,0,3,3,2,6,1,1,0,1
0,0,5,156,0,400,0,0,3,2,2,4,1,1,0,0
0,0,10,241,0,200,0,0,3,2,2,9,2,1,0,0
2,0,37,1239,1,165,0,0,3,2,2,1,2,2,0,0
6,0,68,2525,0,2,0,0,3,1,2,6,1,1,0,0
4,0,4,54,0,286,0,0,3,2,2,1,1,1,0,0
2,0,2,35,0,500,0,0,3,2,2,1,2,2,0,0
0,0,15,176,2,267,0,0,3,1,1,1,1,1,1,0
3,0,11,264,0,36,0,0,3,3,2,1,9,1,0,0
2,0,7,102,0,112,0,0,3,3,2,8,2,2,0,0
0,0,1,0,20,2000,0,0,3,3,2,3,1,1,0,0
3,0,55,1043,0,23,0,0,3,4,2,1,2,2,0,0
1,3,21,614,1,237,0,0,3,1,2,1,1,1,0,0
4,0,64,1589,1,93,0,0,3,2,2,1,1,1,0,0
0,1,75,4106,1,174,0,0,3,2,2,3,1,1,0,0
1,0,14,270,0,191,0,0,3,2,2,3,1,1,0,0
1,0,8,1237,0,286,0,0,3,3,2,1,3,1,0,0
0,0,49,1385,0,120,0,0,3,2,2,1,2,1,0,0
0,0,4,52,0,250,0,0,3,2,2,1,2,1,0,0
1,0,29,665,0,51,0,0,3,3,2,1,2,1,0,0
0,0,7,64,0,143,0,0,3,2,2,1,3,1,0,0
0,0,1,0,20,2000,0,0,3,2,2,4,1,1,0,0
0,0,8,327,10,1250,0,0,3,1,1,1,3,1,0,0
0,0,25,1691,1,374,0,0,3,1,1,8,1,1,0,0
0,0,1,0,20,2000,0,0,3,2,2,8,1,1,0,0
4,0,3,179,0,80,0,0,3,3,2,3,8,2,0,0
0,0,12,407,0,334,0,0,3,2,2,4,3,1,0,0
6,0,39,1514,1,214,0,0,3,1,1,1,3,1,0,0
3,0,24,833,0,99,0,0,3,2,10,1,3,2,0,0
1,0,12,251,0,167,0,0,3,3,2,2,1,1,1,0
2,0,15,566,0,63,0,0,3,2,2,1,1,2,0,0
0,0,10,194,2,400,0,0,3,2,5,7,1,1,0,0
8,1,19,298,0,167,20,0,3,2,2,3,1,1,1,0
9,1,55,1744,0,44,0,0,3,2,2,6,2,1,0,0
3,0,27,656,0,112,0,0,3,2,2,2,1,1,0,0
0,1,30,1993,0,34,9,0,3,2,4,1,3,1,0,1
0,0,3,0,20,2000,0,0,3,2,2,4,1,1,0,0
0,0,24,309,0,281,0,0,3,2,6,2,2,1,0,0
3,0,46,2750,0,56,0,0,3,2,2,1,2,1,0,0
0,0,1,0,20,2000,0,0,3,3,2,1,1,1,0,0
0,0,25,812,0,80,0,0,3,2,2,1,1,1,0,0
0,0,12,166,3,715,0,0,3,2,2,1,1,1,1,0
1,0,4,65,0,500,0,0,3,2,4,3,1,1,0,0
4,0,46,2451,3,480,0,0,3,1,1,3,3,1,0,0
0,0,10,227,0,100,0,0,3,1,1,1,2,1,1,0
3,0,9,341,0,77,34,0,3,2,2,9,3,2,0,1
0,0,13,226,0,539,0,0,3,2,2,4,3,1,1,0
1,0,111,3511,1.00E+00,95,12,0,3,3,2,5,2,1,0,0
5,0,2,6,0,334,0,0,3,2,5,2,1,1,0,0
2,0,27,560,2,305,0,0,3,2,4,4,3,1,1,0
8,0,33,1110,2,278,0,0,3,1,1,4,1,1,0,0
0,0,5,239,0,400,0,0,3,2,2,9,1,1,0,0
2,0,7,213,0,63,0,0,3,3,2,1,8,2,1,0
1,14,81,2821,1,295,0,0,3,2,2,3,2,1,0,0
0,0,6,44,7,1000,0,0,3,2,2,3,1,1,0,0
0,0,8,781,3,572,0,0,3,3,2,4,1,1,0,0
4,0,14,176,0,106,0,0,3,2,2,5,2,1,0,0
3,0,25,398,1,336,0,0,3,2,2,1,1,1,1,0
0,0,25,771,2,350,0,0,3,3,2,8,10,1,0,0
2,3,22,1035,0,140,16,0,3,1,1,4,2,1,0,1
0,0,2,12,0,1000,0,0,3,1,1,5,3,1,0,0
0,0,3,8,7,1334,0,0,3,2,4,1,3,1,0,0
1,0,22,400,2,381,0,0,3,1,5,7,1,1,0,0
0,0,1,0,20,2000,0,0,3,2,2,2,3,1,0,0
9,5,61,2259,1,207,3,0,3,1,1,4,2,1,0,0
0,0,2,254,0,1000,0,0,3,3,2,4,1,1,0,0
0,0,7,67,0,286,0,0,3,2,2,1,2,1,0,0
0,0,4,57,0,250,0,0,3,2,2,6,2,1,0,0
0,0,12,241,0,617,0,0,3,3,2,1,6,1,0,0
0,0,8,552,3,350,0,0,3,3,2,2,3,1,0,0
6,0,47,1533,1,198,27,0,3,2,2,1,1,1,0,1
0,0,7,380,6,858,0,0,3,3,2,8,1,1,0,0
1,0,14,549,3,299,0,0,3,3,2,3,1,1,1,0
3,0,31,1736,2,516,0,0,3,1,1,2,1,1,0,0
0,0,3,103,0,223,0,0,3,1,1,1,3,1,1,0
7,0,44,1407,1,66,0,0,3,1,1,4,2,1,0,0
3,0,8,332,0,34,0,0,3,3,2,2,10,2,0,0
1,1,88,1760,1,207,0,0,3,2,2,1,2,1,0,0
0,0,1,0,20,2000,0,0,3,2,4,1,1,1,0,0
7,4,31,1205,1,134,12,0,3,2,2,7,2,1,0,1
2,0,39,1744,0,165,79,0,3,3,3,2,1,1,0,1
0,0,10,236,0,267,0,0,3,2,2,1,1,1,0,0
5,4,17,428,0,87,0,0,3,1,1,3,2,2,0,0
3,0,46,910,1,205,0,0,3,2,2,6,1,1,0,0
4,0,14,703,0,143,0,0,3,3,2,1,2,2,0,0
0,0,40,963,0,163,0,0,3,2,2,9,1,1,0,0
4,0,2,159,0,80,0,0,3,4,2,1,7,2,0,0
0,0,2,24,0,1000,0,0,3,2,6,1,2,1,0,0
8,4,30,1570,0,82,16,0,3,1,2,1,9,1,1,1
3,0,15,425,0,125,0,0,3,2,2,6,6,1,0,0
0,0,16,155,0,63,0,0,3,2,4,7,1,1,0,0
2,1,37,759,0,106,0,0,3,1,1,6,1,1,1,0
4,1,11,306,0,18,0,0,3,1,2,3,8,2,1,0
3,0,2,62,0,250,0,0,3,3,2,1,10,1,1,0
1,0,15,657,3,286,0,0,3,1,1,8,2,1,1,0
0,0,29,618,1,196,0,0,3,2,2,3,10,1,0,0
0,2,15,245,0,125,12,0,3,2,2,1,3,1,1,1
0,0,3,20,0,667,0,0,3,2,2,2,1,1,1,0
0,0,1,0,20,2000,0,0,3,1,1,1,1,1,1,0
0,0,2,22,0,1000,0,0,3,1,2,9,2,1,0,0
1,1,55,873,1,176,0,0,3,2,5,1,1,1,1,0
0,0,1,0,20,2000,0,0,3,3,2,2,1,1,0,0
0,0,38,1372,1,190,0,0,3,2,2,1,2,1,0,0
2,0,7,139,3,556,0,0,3,2,5,6,2,1,1,0
4,2,149,5043,1,73,18,0,3,2,2,1,2,1,0,1
